,PDF名字,解析结果
37,"00367-莊士機構國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (221KB, PDF).pdf",无
38,"00399-領航醫藥生物科技-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (224KB, PDF).pdf",无
39,"00400-科通芯城-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (582KB, PDF).pdf",无
40,"00402-天下圖控股-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (141KB, PDF).pdf",无
41,"00408-葉氏化工集團-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (477KB, PDF).pdf",有数据请查看
42,"00410-ＳＯＨＯ中國-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (967KB, PDF).pdf",无
43,"00412-中國山東高速金融-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (436KB, PDF).pdf",有数据请查看
44,"00483-包浩斯國際-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (472KB, PDF).pdf",无
45,"00485-中國華星-月報表月報表 (422KB, PDF).pdf",无
46,"00488-麗新發展-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (255KB, PDF).pdf",无
47,"00489-東風集團股份-月報表月報表 (535KB, PDF).pdf",无
48,"00494-利豐-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (516KB, PDF).pdf",无
49,"00511-電視廣播-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (513KB, PDF).pdf",无
50,"00522-ASM PACIFIC-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (177KB, PDF).pdf",无
51,"00527-瑞風新能源-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (481KB, PDF).pdf",无
52,"00540-迅捷環球控股-月報表截至 2018年 9月30日止月份之股份發行人的證券變動月報表 (351KB, PDF).pdf",解析失败请手动查看PDF
53,"00547-數字王國-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (218KB, PDF).pdf",解析失败请手动查看PDF
54,"00553-南京熊貓電子股份-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (164KB, PDF).pdf",解析失败请手动查看PDF
55,"00564-鄭煤機-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (178KB, PDF).pdf",无
56,"00571-豐德麗控股-月報表截至二零一八年九月三十日止月份的股份發行人的證券變動月報表 (505KB, PDF).pdf",无
57,"00573-稻香控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (162KB, PDF).pdf",无
58,"00586-海螺創業-月報表股份發行人的證券變動月報表 (187KB, PDF).pdf",无
59,"00617-百利保控股-月報表截至2018年9月30日股份發行人的證券變動月報表 (645KB, PDF).pdf",无
60,"00626-大眾金融控股-月報表截至2018年9月30日之股份發行人的證券變動月報表 (553KB, PDF).pdf",无
61,"00651-中海重工-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (120KB, PDF).pdf",无
62,"00660-偉俊礦業集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (497KB, PDF).pdf",无
63,"00670-中國東方航空股份-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (138KB, PDF).pdf",无
64,"00674-中國唐商-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (503KB, PDF).pdf",无
65,"00678-雲頂香港-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (250KB, PDF).pdf",无
66,"00682-超大現代-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (439KB, PDF).pdf",无
67,"00687-香港國際建投-月報表截至二零一八年七月三十一日止之股份發行人的證券變動月報表（經修訂） (118KB, PDF).pdf",有数据请查看
68,"00687-香港國際建投-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (117KB, PDF).pdf",有数据请查看
69,"00687-香港國際建投-月報表截至二零一八年八月三十一日止之股份發行人的證券變動月報表（經修訂） (118KB, PDF).pdf",有数据请查看
70,"00708-恒大健康-月報表截至2018年9月30日止股份發行人的證券變動月報表 (457KB, PDF).pdf",无
71,"00715-中泛控股-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (463KB, PDF).pdf",无
72,"00730-SHOUGANG GRAND-月報表截至2018年9月30日股份發行人的證券變動月報表 (366KB, PDF).pdf",无
73,"00745-中國國家文化產業-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (431KB, PDF).pdf",无
74,"00776-帝國集團環球控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (329KB, PDF).pdf",无
75,"00799-IGG-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (643KB, PDF).pdf",有数据请查看
76,"00803-昌興國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (485KB, PDF).pdf",无
77,"00807-上海實業環境-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (639KB, PDF).pdf",无
78,"00819-天能動力-月報表截至2018年9月30日之股份發行人的證券變動月報表 (545KB, PDF).pdf",有数据请查看
